Index,Description,attacker,data-plane-detection,detail_param,duration,end_time,event_type,example_prefix,hijack_as_percent,level,level_reason,prefix_list,prefix_num,start_time,victim
272,Victim:US/AS 393556 (NSH167)<br> Attacker:US/AS 203 (CENTURYLINK-LEGACY-LVLT-203),203,Not done,[object Object],2852000,1713298917000,Possible SubHijack,<div>prefix: 167.183.216.0/22</div> <div>subprefix: 167.183.216.0/24</div>,93.58,low,,167.183.216.0/24;167.183.216.0/22;167.183.217.0/24;167.183.216.0/22,2,1713296065000,393556
273,Victim:BR/AS 269527 ()<br> Attacker:BR/AS 265171 (),265171,Low Possibility,[object Object],102523980,1745705991060,Possible SubHijack,<div>prefix: 45.188.88.0/23</div> <div>subprefix: 45.188.88.0/24</div>,76.34,low,,45.188.88.0/24;45.188.88.0/23,1,1745603467080,269527
274,Victim:PH/AS 55547 (WOODSNET-PH)<br> Attacker:BN/AS 58810 (IZUSCOLTD-BN),58810,Low Possibility,[object Object],168175700,1743747652170,Possible SubHijack,<div>prefix: 165.84.196.0/22</div> <div>subprefix: 165.84.197.0/24</div>,6.25,middle,55547 is Cloud|IDC|CDN or top content provider.,165.84.197.0/24;165.84.196.0/22;146.88.169.0/24;146.88.168.0/22;146.88.162.0/24;146.88.160.0/22;135.84.245.0/24;135.84.244.0/22;58.97.146.0/24;58.97.144.0/22;103.252.213.0/24;103.252.212.0/22;103.241.79.0/24;103.241.76.0/22;103.241.78.0/24;103.241.76.0/22,8,1743579476470,55547
275,Victim:BR/AS 213920 (FONSECA)<br> Attacker:BR/AS 213738 (HOSTEG),213738,Not done,[object Object],161577050,1744813736620,Possible SubHijack,<div>prefix: 2a0c:b641:30::/44</div> <div>subprefix: 2a0c:b641:30::/48</div>,60,low,,2a0c:b641:30::/48;2a0c:b641:30::/44,1,1744652159570,213920
276,Victim:US/AS 13649 (ASN-FLEXENTIAL)<br> Attacker:US/AS 27253 (ASN1),27253,Not Hijacking,[object Object],122139720,1763525136350,Possible SubHijack,<div>prefix: 216.58.128.0/20</div> <div>subprefix: 216.58.141.0/24</div>,94.68,middle,13649 is Cloud|IDC|CDN or top content provider.,216.58.141.0/24;216.58.128.0/20,1,1763402996630,13649
277,Victim:US/AS 63199 (CDSC-AS1)<br> Attacker:US/AS 834 (IPXO),834,No Result,[object Object],-,-,Ongoing Possible Hijack,81.21.7.0/24,96.61,low,,81.21.7.0/24,1,1769425256630,63199
278,Victim:GB/AS 203728 (AS_BAHU)<br> Attacker:US/AS 834 (IPXO),834,No Result,[object Object],-,-,Ongoing Possible Hijack,81.21.4.0/24,97.06,low,,81.21.4.0/24,1,1769425253630,203728
279,Victim:US/AS 401776 (AS-CUSTOMER)<br> Attacker:US/AS 834 (IPXO),834,Low Possibility,[object Object],-,-,Ongoing Possible Hijack,95.170.12.0/24,12.73,low,,95.170.12.0/24,1,1769413173930,401776
280,Victim:IR/AS 48715 (SEFROYEKPARDAZENG-AS)<br> Attacker:IR/AS 204104 (GSC),204104,No Result,[object Object],-,-,Ongoing Possible Hijack,212.80.31.0/24,19.12,low,,212.80.31.0/24,1,1769350381790,48715
281,Victim:US/AS 397630 (AS-BLAZINGSEO)<br> Attacker:US/AS 395839 (HOSTKEY-USA),395839,No Result,[object Object],-,-,Ongoing Possible Hijack,72.244.131.0/24,93.1,low,,72.244.131.0/24,1,1769438952940,397630
